A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/1/2015 0:00,2015,1,1,0,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 1:00,2015,1,1,1,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 2:00,2015,1,1,2,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 3:00,2015,1,1,3,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 4:00,2015,1,1,4,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 5:00,2015,1,1,5,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 6:00,2015,1,1,6,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 7:00,2015,1,1,7,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 8:00,2015,1,1,8,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 9:00,2015,1,1,9,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 10:00,2015,1,1,10,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 11:00,2015,1,1,11,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 12:00,2015,1,1,12,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 13:00,2015,1,1,13,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 14:00,2015,1,1,14,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 15:00,2015,1,1,15,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 16:00,2015,1,1,16,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 17:00,2015,1,1,17,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 18:00,2015,1,1,18,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 19:00,2015,1,1,19,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 20:00,2015,1,1,20,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 21:00,2015,1,1,21,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 22:00,2015,1,1,22,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2015 23:00,2015,1,1,23,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2015 0:00,2015,1,2,0,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2015 1:00,2015,1,2,1,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2015 2:00,2015,1,2,2,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2015 3:00,2015,1,2,3,70,µg/m³,1 Hr,Valid
