A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/1/2015 0:00,2015,1,1,0,38,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 1:00,2015,1,1,1,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 2:00,2015,1,1,2,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 3:00,2015,1,1,3,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 4:00,2015,1,1,4,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 5:00,2015,1,1,5,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 6:00,2015,1,1,6,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 7:00,2015,1,1,7,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 8:00,2015,1,1,8,52,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 9:00,2015,1,1,9,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 10:00,2015,1,1,10,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 11:00,2015,1,1,11,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 12:00,2015,1,1,12,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 13:00,2015,1,1,13,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 14:00,2015,1,1,14,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 15:00,2015,1,1,15,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 16:00,2015,1,1,16,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 17:00,2015,1,1,17,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 18:00,2015,1,1,18,65,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 19:00,2015,1,1,19,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 20:00,2015,1,1,20,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 21:00,2015,1,1,21,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2015 22:00,2015,1,1,22,71,µg/m³,1 Hr,Valid
