A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/3/2017 10:00,2017,1,3,10,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 11:00,2017,1,3,11,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 12:00,2017,1,3,12,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 13:00,2017,1,3,13,38,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 14:00,2017,1,3,14,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 15:00,2017,1,3,15,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 16:00,2017,1,3,16,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 17:00,2017,1,3,17,77,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 18:00,2017,1,3,18,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 19:00,2017,1,3,19,150,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 20:00,2017,1,3,20,162,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 21:00,2017,1,3,21,141,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 22:00,2017,1,3,22,106,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 23:00,2017,1,3,23,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 0:00,2017,1,4,0,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 1:00,2017,1,4,1,65,µg/m³,1 Hr,Valid
