A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/3/2017 12:00,2017,1,3,12,110,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 13:00,2017,1,3,13,100,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 14:00,2017,1,3,14,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 15:00,2017,1,3,15,90,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 16:00,2017,1,3,16,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 17:00,2017,1,3,17,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 18:00,2017,1,3,18,80,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 19:00,2017,1,3,19,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 20:00,2017,1,3,20,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 21:00,2017,1,3,21,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 22:00,2017,1,3,22,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/3/2017 23:00,2017,1,3,23,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 0:00,2017,1,4,0,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 1:00,2017,1,4,1,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 2:00,2017,1,4,2,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 3:00,2017,1,4,3,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 4:00,2017,1,4,4,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 5:00,2017,1,4,5,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 6:00,2017,1,4,6,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 7:00,2017,1,4,7,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 8:00,2017,1,4,8,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 9:00,2017,1,4,9,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 10:00,2017,1,4,10,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 11:00,2017,1,4,11,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 12:00,2017,1,4,12,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 13:00,2017,1,4,13,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 14:00,2017,1,4,14,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 15:00,2017,1,4,15,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 16:00,2017,1,4,16,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/4/2017 17:00,2017,1,4,17,75,µg/m³,1 Hr,Valid
