A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/1/2015 0:00,2015,1,1,0,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 1:00,2015,1,1,1,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 2:00,2015,1,1,2,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 3:00,2015,1,1,3,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 4:00,2015,1,1,4,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 5:00,2015,1,1,5,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 6:00,2015,1,1,6,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 7:00,2015,1,1,7,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 8:00,2015,1,1,8,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 9:00,2015,1,1,9,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 10:00,2015,1,1,10,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 11:00,2015,1,1,11,40,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 12:00,2015,1,1,12,63,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 13:00,2015,1,1,13,62,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 14:00,2015,1,1,14,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 15:00,2015,1,1,15,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 16:00,2015,1,1,16,51,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 17:00,2015,1,1,17,82,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 18:00,2015,1,1,18,87,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 19:00,2015,1,1,19,106,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 20:00,2015,1,1,20,123,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 21:00,2015,1,1,21,136,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 22:00,2015,1,1,22,139,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/1/2015 23:00,2015,1,1,23,154,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 0:00,2015,1,2,0,126,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 1:00,2015,1,2,1,98,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 2:00,2015,1,2,2,66,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 3:00,2015,1,2,3,45,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 4:00,2015,1,2,4,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 5:00,2015,1,2,5,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 6:00,2015,1,2,6,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 7:00,2015,1,2,7,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 8:00,2015,1,2,8,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 9:00,2015,1,2,9,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 10:00,2015,1,2,10,34,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 11:00,2015,1,2,11,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 12:00,2015,1,2,12,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 13:00,2015,1,2,13,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 14:00,2015,1,2,14,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 15:00,2015,1,2,15,41,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 16:00,2015,1,2,16,85,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 17:00,2015,1,2,17,108,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 18:00,2015,1,2,18,87,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 19:00,2015,1,2,19,102,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 20:00,2015,1,2,20,117,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 21:00,2015,1,2,21,125,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 22:00,2015,1,2,22,145,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/2/2015 23:00,2015,1,2,23,157,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 0:00,2015,1,3,0,163,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 1:00,2015,1,3,1,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 2:00,2015,1,3,2,193,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 3:00,2015,1,3,3,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 4:00,2015,1,3,4,214,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 5:00,2015,1,3,5,222,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 6:00,2015,1,3,6,209,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 7:00,2015,1,3,7,201,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 8:00,2015,1,3,8,179,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 9:00,2015,1,3,9,169,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 10:00,2015,1,3,10,147,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 11:00,2015,1,3,11,158,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 12:00,2015,1,3,12,170,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 13:00,2015,1,3,13,182,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 14:00,2015,1,3,14,172,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 15:00,2015,1,3,15,178,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 16:00,2015,1,3,16,193,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 17:00,2015,1,3,17,214,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 18:00,2015,1,3,18,241,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 19:00,2015,1,3,19,262,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 20:00,2015,1,3,20,264,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 21:00,2015,1,3,21,305,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 22:00,2015,1,3,22,290,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2015 23:00,2015,1,3,23,322,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 0:00,2015,1,4,0,272,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 1:00,2015,1,4,1,247,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 2:00,2015,1,4,2,241,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 3:00,2015,1,4,3,206,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 4:00,2015,1,4,4,163,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 5:00,2015,1,4,5,137,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 6:00,2015,1,4,6,144,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 7:00,2015,1,4,7,166,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 8:00,2015,1,4,8,160,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 9:00,2015,1,4,9,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 10:00,2015,1,4,10,106,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 11:00,2015,1,4,11,107,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 12:00,2015,1,4,12,112,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 13:00,2015,1,4,13,114,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 14:00,2015,1,4,14,158,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 15:00,2015,1,4,15,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 16:00,2015,1,4,16,195,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 17:00,2015,1,4,17,225,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 18:00,2015,1,4,18,269,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 19:00,2015,1,4,19,305,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 20:00,2015,1,4,20,360,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 21:00,2015,1,4,21,279,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 22:00,2015,1,4,22,321,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2015 23:00,2015,1,4,23,250,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2015 0:00,2015,1,5,0,171,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2015 1:00,2015,1,5,1,146,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2015 2:00,2015,1,5,2,150,µg/m³,1 Hr,Valid
